Geographic Area,2020,2021,2022,2023,2024
".Abilene, TX Metro Area","176,926","177,918","180,072","182,838",184278
".Akron, OH Metro Area","701,689","696,602","698,506","700,094",702209
".Albany, GA Metro Area","148,253","144,976","145,873","145,538",145451
".Albany, OR Metro Area","128,967","130,062","130,516","131,509",132474
".Albany-Schenectady-Troy, NY Metro Area","899,778","905,557","904,216","907,223",913485
".Albuquerque, NM Metro Area","917,747","919,682","920,200","923,477",926303
".Alexandria, LA Metro Area","151,811","150,910","148,999","148,382",148008
".Allentown-Bethlehem-Easton, PA-NJ Metro Area","861,575","870,124","871,414","878,487",886418
".Altoona, PA Metro Area","122,664","122,160","120,796","120,494",120269
".Amarillo, TX Metro Area","269,051","269,858","270,751","272,981",274650
".Ames, IA Metro Area","125,353","126,453","126,565","128,068",129227
".Amherst Town-Northampton, MA Metro Area","148,589","165,069","165,397","165,686",165399
".Anchorage, AK Metro Area","398,427","399,924","401,025","403,228",407213
".Ann Arbor, MI Metro Area","371,849","365,041","367,947","370,398",373875
".Anniston-Oxford, AL Metro Area","116,242","115,633","115,744","116,403",116427
".Appleton, WI Metro Area","243,451","243,961","245,306","247,131",248992
".Asheville, NC Metro Area","407,570","410,887","414,360","418,404",422333
".Athens-Clarke County, GA Metro Area","215,715","218,338","220,609","222,637",223689
".Atlanta-Sandy Springs-Roswell, GA Metro Area","6,121,086","6,160,570","6,253,070","6,336,015",6411149
"..Atlanta-Sandy Springs-Roswell, GA Metro Division","4,777,597","4,803,493","4,874,423","4,937,012",4991637
"..Marietta, GA Metro Division","1,343,489","1,357,077","1,378,647","1,399,003",1419512
".Atlantic City-Hammonton, NJ Metro Area","369,247","370,711","371,526","371,580",372989
".Auburn-Opelika, AL Metro Area","194,328","196,569","199,605","202,618",206006
".Augusta-Richmond County, GA-SC Metro Area","612,228","616,307","624,645","630,968",636760
".Austin-Round Rock-San Marcos, TX Metro Area","2,300,249","2,359,088","2,430,375","2,492,618",2550637
".Bakersfield-Delano, CA Metro Area","906,124","912,782","917,293","916,646",922529
".Baltimore-Columbia-Towson, MD Metro Area","2,846,948","2,847,520","2,846,006","2,847,687",2859024
".Bangor, ME Metro Area","152,179","153,383","154,817","156,329",156840
".Barnstable Town, MA Metro Area","228,060","232,379","232,571","232,759",232570
".Baton Rouge, LA Metro Area","870,319","872,794","873,586","877,217",882652
".Battle Creek, MI Metro Area","134,219","133,905","133,475","133,505",133785
".Bay City, MI Metro Area","103,747","103,116","102,754","102,774",102651
".Beaumont-Port Arthur, TX Metro Area","397,287","395,602","395,039","397,476",398733
".Beckley, WV Metro Area","114,852","113,859","112,274","111,605",110979
".Bellingham, WA Metro Area","227,451","226,725","230,701","232,686",234954
".Bend, OR Metro Area","248,978","256,185","258,203","261,297",264407
".Billings, MT Metro Area","184,726","187,374","190,252","191,390",192531
".Binghamton, NY Metro Area","246,526","246,686","245,048","243,976",243971
".Birmingham, AL Metro Area","1,181,816","1,181,164","1,181,300","1,186,201",1192583
".Bismarck, ND Metro Area","133,779","134,843","136,035","137,404",139183
".Blacksburg-Christiansburg-Radford, VA Metro Area","181,758","181,230","181,397","181,889",182041
".Bloomington, IL Metro Area","171,236","171,411","171,571","171,493",172069
".Bloomington, IN Metro Area","161,969","162,762","162,733","162,827",162553
".Boise City, ID Metro Area","770,272","797,158","814,129","828,138",845877
".Boston-Cambridge-Newton, MA-NH Metro Area","4,930,540","4,911,669","4,931,775","4,967,266",5025517
"..Boston, MA Metro Division","2,049,443","2,033,912","2,040,182","2,051,864",2075988
"..Cambridge-Newton-Framingham, MA Metro Division","2,435,359","2,427,868","2,439,844","2,461,129",2492894
"..Rockingham County-Strafford County, NH Metro Division","445,738","449,889","451,749","454,273",456635
".Boulder, CO Metro Area","330,953","327,133","328,039","328,419",330262
".Bowling Green, KY Metro Area","180,069","182,549","186,420","190,604",195159
".Bozeman, MT Metro Area","119,607","123,119","124,733","125,929",126984
